name,salary,workyear,city,education,company
name,salary,workyear,city,education,company,content
后端研发工程师（pyhon+go）,25K-50K,1-3年,北京,本科,北京字节跳动,"['', '                                    后端研发工程师，1到6年工作经验，各种级别都有，25K-60K，优秀同学还可以拿期权。建议直接给我邮箱发，我可以更快 push hr 推进流程。以下为我们组后端研发工程师的 JD，半年时间我们已经从 0 到业内第二了，正在快速上升的过程中，今年也会是公司重点发展方向，未来可期，加油赶紧上车啊~职位描述：1、负责今日头条相关产品的后端业务研发；2、负责头条在线大流量高并发系统设计；3、主要实现语言为 Python/Golang，我们不限语言经验；职位要求：1、本科及以上学历，211、985 学校毕业优先，计算机相关专业；2、深刻理解计算机原理，有良好的数据结构和算法基础；3、熟悉 Mysql、Nosql、消息队列等常用 WEB 组件；4、优秀的编程习惯，优秀的技术视野和技术落地能力；5、有较强的系统问题分析经验和能力，能够解决复杂的系统问题；6、积极乐观，责任心强，工作认真细致，有良好的团队沟通和协作能力；7、热爱编程，有较强的学习能力，有强烈的求知欲、好奇心和进取心，能及时关注和学习业界最新技术。具备以下条件者优先：1、对大流量、复杂产品有足够经验者优先；2、有大厂工作经验优先；3、开源社区活跃贡献者优先；4、有产品意识的研发同学优先;邮箱：欢迎有意向我们组后端的同学，简历投递 ***** ，如果有优先的点，可以在邮件里注明 case，我会更加关注。', '                            目前我们是头条里发展速度最快的部门之一，优秀的同学赶紧入坑~', '                                                我们是开发了 《今日头条》《抖音》等应用的团队,2012年成立发展最快的移动互联网公司之一，是一个拥有丰富创业经历和成熟公司经验的靠谱团队，聚集了来自一流学校和公司的顶尖人才，有着全球科技、金融行业最具价值的投资人投资。我们立志用卓越的技术帮助用户发现有价值的信息。我们高效、简单、极致、务实', '                                        ']"
python 爬虫实习生,2K-4K,经验不限,北京,本科,TransferEasy,"['', '                                    1.掌握python基础知识，熟悉常见的算法思想2.熟悉爬虫流程，熟悉TCP/IP协议族3.会使用xpath、re，熟悉常见的反爬虫及反反爬虫手段4.熟悉scrapy，自定义过middleware和pipeline5.熟悉mysql及常用的sql语句6.务必是在校生聊天时请注明自己是哪个学校几年级的', '                            ', '                                                TransferEasy是一家提供国际汇款服务的公司。我们的团队来自联想、支付宝、安永、百度、中联国际等知名企业，有三方支付、风控合规、外汇交易的丰富从业经验。TransferEasy专注于打造安全、快捷、便利的全球资金路由网络，致力于建立可以比肩西联汇款（Western Union）的国际汇款', '                                        ']"
python,16K-32K,经验不限,北京,本科,春雨医生,"['', '                                    【岗位职责】 1.  参与服务器业务开发，搭建具有高可靠性和高性能的系统； 2.  参与数据平台研发，便捷进行用户行为分析和数据统计； 3.  参与服务器系统代码重构和服务器性能优化。【岗位要求】 1.  熟练掌握一门主流程序设计语言（C，C++，JAVA，PYTHON，GO等），具备良好的编码技巧； 2.  熟练使用至少一种数据库（MySQL/PostgreSQL/Redis/MongoDB)； 3.  工作有激情，具备良好的责任心和团队合作精神； 4.  优秀应届生亦可，两年以上服务器开发方面工作经验优先。 5.  具备以下条件者优先：    熟练掌握一门Python Web开发框架（如Tornado、Django、Flask等)；    拥有完整的项目开发经验或者参与过大容量，高性能复杂系统开发；    拥有服务器性能优化和系统重构经验；    熟练使用缓存系统，消息队列和Hadoop等基础技术；    熟悉Docker，K8S，微服务架构；    有独立分析和解决问题的能力，善于学习新技术。【春雨福利】 1.免费的午餐；2.每年一次免费体检；3.每年10天带薪年假；4.每月享有福利卡补贴；5.每月“一呼百应”的活动；6.每周享有的羽毛球、篮球、台球、乒乓球健身活动；7.配备休息室、健身房的办公环境。', '                            【春雨团队】         如果你也拥有冒险精神，乐于颠覆传统挑战未知；         如果你也具有先锋品质，勇于成为移动医疗开拓者；         如果你也怀揣浪漫情怀，致力建造新医疗生态；         那么，欢迎你成为春雨的一员。', '                                                【春雨介绍】 \xa0 \xa0 \xa0 春雨医生是中国大型的移动医患交流平台。致力于为国人提供更高质量、经济、便捷的健康服务。       公司成立于2011年7月，主产品「春雨医生」App于2011年11月上线，专注于利用手机终端实现医生与患者随时随地的远程交流，并在此基础上，', '                                        ']"
Python初级开发工程师,18K-25K,3-5年,北京,本科,天曦科技,"['', '                                    职位要求：1、根据业务需求，依托开源框架体系，进行运维自动化平台整体或者子模块的开发、设计、实现；2、负责开发分布式系统，为自动化运维（配置管理、监控、部署、调度等）提供工具或系统支持；3、负责开发运维脚本或工具，来提高运维部署的效率。 熟练使用python， shell；4、负责开发和维护运维脚本，熟练使用代码管理工具git，svn等。任职要求：1、本科及以上学历，计算机相关专业,1-3年运维开发工作经验2、具备良好的学习能力，独立分析问题，解决问题的能力；3、有ODOO(OpenERP)实施经验；4、具有良好的代码书写和维护习惯；5、可承受较大压力，能够接受工作任务的动态调整，有责任感，较强的沟通协调能力，具有团队合作精神。加分项：1、有制造行业相关信息系统开发或运维经验有加分；2、对分布式开源服务发现和配置管理框架如zookeeper, consul, etcd, 有深刻理解和使用经验有加分；3、对开源的自动化运维框架，如日志系统，监控系统等有所了解，或者有使用经验，或者有定制开发的经验；4、有web和数据库开发经验有加分；5、具有大型软件开发经验的有加分 ；6、对以下中间件的一种或几种有一定的了解和使用经验的有加分，如hadoop, kafka, elastic search, nginx, redis；6、对容器技术有了解和使用经验的有加分。', '                            ', '                                                天曦网络科技(北京)有限公司总部位于北京，是一家立足于国内高端网络体系研发和销售的企业，完全拥有自主可控的团队，具备高素质的研发和管理队伍。致力于高端服务器互联，数据通讯，网络安全防护产品和解决方案，具体包括高性能核心数据中心交换机，高端存储交换系统，高端路由器，防火墙，入侵检测，无线网络连接系统，', '                                        ']"
Python/Django web开发工程师,20K-35K,3-5年,北京,本科,好未来,"['', '                                    岗位职责：1、负责家长帮各产品线的迭代开发需求，提供基于RESTful API接口2、负责家长社区、基础系统及小应用的功能开发与维护3、与相关角色进行合作，负责与第三方系统的功能集成开发4、优化web系统的性能以及日常的日志、数据的维护与导出职位要求：1、扎实的Python编程基础，热爱编程、具有良好的代码风格，了解Python的高级特性2、3年以上python web框架(Django/Flask/web.py)开发经验，掌握RESTful API的开发思想3、具有构建分布式任务系统经验（Celery/RabbitMQ/Redis）4、熟悉Linux操作系统，了解docker，能够进行日常服务的测试部署5、良好的自学能力、独立解决问题的能力及沟通与团队协作能力6、熟悉除Python以外的编程语言，如PHP/Ruby/JavaScript等优先', '                            ', '                                                好未来，英文缩写：TAL（Tomorrow Advancing Life），是一个以智慧教育和开放平台为主体，以素质教育和学科培训为载体，在全球范围内服务公办教育，助力民办教育，探索未来教育新模式的科技教育公司。    2010年10月，好未来的前身学而思在美国纽交所正式挂牌交易，', '                                        ']"
Python开发工程师,18K-30K,3-5年,北京,本科,搜房网房天下,"['', '                                    工作内容：1. 负责运维平台设计和开发工作，如监控系统、CMDB、自动化平台等；2. 参与内外部系统的日常管理和运维，解决核心技术问题，提高生产力；3. 改善CI/CD流程，实现流程自动化；4. 研究运维新技术和方向，参与运维体系建设。岗位要求：1. 熟练掌握Python, Django、tornado、css、js、bootstrap；2. 熟练使用Linux Shell，能够熟练编写脚本；3. 对nginx, Kafka, Consul, Docker, K8S，有熟练经验；4. 对InfluxDB, Prometheus有熟练经验;5. 熟悉Jenkins, saltstack, Gitlab等自动化部署、运维工具的使用；6. 了解微服务架构优先，有开源项目者优先。加分项：1. 熟悉Docker、k8s。2. 熟悉go、lua3. 熟悉微服务架构、有开源项目经验。4. 熟悉运维工作， 能解决一些项目中的运维问题。5. 熟悉vue.js框架优先', '                            ', '                                                房天下简介房天下(FANG.COM)是全球领先的房地产家居网络平台，一直引领新房、二手房、家居、租房、房地产研究等领域的互联网创新，在房地产互联网移动及PC均处于领先地位。最新数据显示，房天下(FANG.COM)日均独立访客600万。截至2016年6月30日，房天下累计注册用户数7200万，累计', '                                        ']"
Python爬虫工程师,15K-30K,1-3年,北京,本科,造数科技,"['', '                                    岗位职责：1、分布式爬虫系统和数据采集的设计、开发；2、爬虫策略和防屏蔽规则，提升网页抓取的效率和质量；3、各类互联网数据的采集抓取；4、理解系统数据处理流程以及业务功能需求；基本要求：1、国内一本大学计算机、软件、数学等相关专业毕业，211、985 院校毕业优先，硕博优先；2、在数据、软件工程等相关行业有 3 年及以上工作或学术经验；3、良好的信息收集与系统学习能力，能够无障碍阅读英文科研、技术文档文献；岗位要求：1、1 年以上实际的爬虫项目经验；2、熟练掌握至少一门编程语言，如 Python、Java、Go 等；3、熟练掌握并发编程模型与网络通信编程，熟悉 TCP／IP、HTTP 协议；4、熟练掌握 HTML/CSS/JavaScript 等 Web 技术；5、熟练掌握关系型与非关系型数据库的使用：MySQL、MongoDB 等；6、熟练掌握分布式系统的技术架构与设施的使用：Kafka、zookeeper、Hadoop 等；7、熟悉各种反爬技术，并能够通过多种应对策略（包括但不限于：代理池、模拟登录、验证码处理、浏览器渲染等）来保证数据的持续交付；8、熟练使用网络流量抓包工具，并有移动端 App 的数据爬取的工程经验；加分项：1、有浏览器内核开发经验者优先2、有 Android、iOS 平台开发经验者优先3、有逆向工程经验者优先4、有数据挖掘工程经验者优先', '                            我们团队凭借在大数据资源、技术的积累核对金融行业深入的理解，在产品化方面形成了独到的优势，专注于构建智能金融市场的下一代基础设施，致力于建设完整且强大的数据网络从而支撑金融商业图谱及自动投资决策的实现。自成立以来，我们团队已经服务了16000余家企业，涵盖金融，电商，零售，咨询等行业。', '                                                造数科技，专注于构建智能金融市场的下一代基础设施，致力于建设完整且强大的数据网络从而支撑金融商业图谱及自动投资决策的实现。造数科技，通过多维数据整合、数据挖掘、机器学习、自然语言处理等领域交叉及融合，已推出三大拳头产品：1）另类数据投研产品，为国际量化及基本面基金高频实时监控上市公司业务及行业', '                                        ']"
Python,10K-20K,1-3年,北京,不限,北京趣活科技有限公司,"['', '                                    主要工作内容：主要负责以下产品和项目的研发1. 负责运维自动化平台及其组件的设计和开发；2. 同城智能协作配送SaaS产品PaaS系统开发和维护工作；3. 业务规则引擎和ApiEngine的研发；4. 参加业务线上运维，故障应急处理.岗位要求：1. 熟悉 python, 有实际项目开发经验；2. 有一定实际运维工作经验，精通Linux操作系统、熟悉掌握linux下常用命令，有shell编程能力;3. 有自动化系统、日志系统、分布式系统等开发经验者优先； 4. 熟悉NoSQL技术，如Redis／MongoDB等，有Mongokit／MongoEngine使用经验尤佳;5. 有激情爱学习愿意提升，愿意以创业心态做事，具有强烈的责任心和团队合作精神。加分项：展示自己的Github项目。有自己的开源Python开发项目。', '                            ', '                                                趣活成立于2012年，为城市即时配送领域排名第一的精细化物流管理服务品牌。趣活为主流生活服务平台、优质商家以及第三方物流企业输出精细化管理能力，目前日服务订单超过50万单，管理骑手日活跃2万名。', '                                        ']"
Python开发工程师,15K-30K,1-3年,北京,本科,十一贝科技,"['', '                                    岗位职责：1、参与设计、开发各种运维工具，建设运维自动化平台，提升运维效率；2、参与部分生产系统维护工作，解决生产系统问题及进行系统调优;3、负责运维平台相关需求的开发（发布系统、ci/cd、cmdb、dnsdb、流程管理等）;4、负责开源监控系统（nagios、zabbix等）的定制开发以满足业务需求;5、对新技术和方案进行调研，评估和引进，用技术去提升运维生产效率;任职要求：1、本科以上学历，计算机或者相关专业优先;2、具备2年以上互联网运维平台开发经验，能独立进行功能开发;3、熟练使用python/shell/go/Perl/ruby脚本编写至少两种;4、熟练编写Html/Css/JavaScripts;5、Python语言开发、熟悉Django/Flask等web框架，具有实际业务系统开发经验；6、熟悉Linux系统，能够对相关服务性能调优、定位故障并处理;7、熟悉自动化运维工具puppet、saltstack等;8、有良好的工作文档习惯，及时按要求撰写、更新工作流程及技术文档;9、能够承受较高的工作压力，积极乐观，责任心强，工作认真细致，具备良好的服务意识，具有良好的团队沟通与协作能力;', '                            北京十一贝科技有限公司，是携程与去哪儿集团战略投资设立的保险营销平台，是一家使用大数据来驱动营销业务的科技公司。基于身份信息、位置信息、交易行为等，精准分析用户需求与属性，形成用户画像，从而结合企业的相关产品，进行有效的营销、销售与服务，帮助企业提升用户价值，提高交易效率，有效促进业务增长。', '                                                北京十一贝科技有限公司成立于2016年7月，是由携程、去哪儿、红杉资本中国基金共同投资，中国推进公平保险消费，为消费者提供保险产品和服务的智能平台。十一贝利用大数据和人工智能的方法，打造了“小贝保险”智能平台， “小贝”是站在消费者一边的保险专家，致力', '                                        ']"
